"Taxa","Prevalence","Taxonomic level","Null_model","ANN_rand1.dev.fit","ANN_rand2.dev.fit","ANN_rand3.dev.fit","ANN_rand4.dev.fit","ANN_rand5.dev.fit","expl.pow_ANN_rand1.dev.fit","expl.pow_ANN_rand2.dev.fit","expl.pow_ANN_rand3.dev.fit","expl.pow_ANN_rand4.dev.fit","expl.pow_ANN_rand5.dev.fit","ANN_rand1.dev.pred","ANN_rand2.dev.pred","ANN_rand3.dev.pred","ANN_rand4.dev.pred","ANN_rand5.dev.pred","expl.pow_ANN_rand1.dev.pred","expl.pow_ANN_rand2.dev.pred","expl.pow_ANN_rand3.dev.pred","expl.pow_ANN_rand4.dev.pred","expl.pow_ANN_rand5.dev.pred","ANN_rand1.auc.fit","ANN_rand2.auc.fit","ANN_rand3.auc.fit","ANN_rand4.auc.fit","ANN_rand5.auc.fit","Null_model.auc","ANN_rand1.auc.pred","ANN_rand2.auc.pred","ANN_rand3.auc.pred","ANN_rand4.auc.pred","ANN_rand5.auc.pred","ANN_rand1.likelihood.ratio","ANN_rand2.likelihood.ratio","ANN_rand3.likelihood.ratio","ANN_rand4.likelihood.ratio","ANN_rand5.likelihood.ratio","ANN_rand1.auc.ratio","ANN_rand2.auc.ratio","ANN_rand3.auc.ratio","ANN_rand4.auc.ratio","ANN_rand5.auc.ratio","Big.model.diff","Big.pred.expl.pow.diff"
"Hydraenidae",0.32,"family",1.25,1.11,1.1,1.11,1.1,1.11,0.11,0.11,0.11,0.12,0.11,1.12,1.12,1.13,1.11,1.12,0.11,0.11,0.1,0.11,0.1,0.72,0.73,0.73,0.73,0.73,0.5,0.72,0.72,0.72,0.73,0.72,1,0.99,0.99,1,0.99,1,0.99,0.99,1,0.99,"ANN_rand4.dev-ANN_rand3.dev",0.02
"Planariidae",0.32,"family",1.26,1.21,1.2,1.21,1.21,1.21,0.04,0.04,0.04,0.04,0.03,1.23,1.21,1.22,1.22,1.21,0.02,0.04,0.03,0.03,0.03,0.62,0.62,0.62,0.62,0.61,0.5,0.6,0.62,0.62,0.61,0.61,0.99,1,1,1,1,0.97,1,1,0.98,1,"ANN_rand2.dev-ANN_rand1.dev",0.02
"Sericostomatidae",0.28,"family",1.18,1.08,1.08,1.07,1.08,1.08,0.08,0.08,0.09,0.09,0.09,1.1,1.08,1.1,1.09,1.1,0.07,0.08,0.07,0.08,0.07,0.69,0.7,0.7,0.69,0.69,0.5,0.68,0.68,0.68,0.68,0.68,0.99,1,0.99,0.99,0.99,0.99,0.98,0.97,0.98,0.98,"ANN_rand2.dev-ANN_rand3.dev",0.01
"Tipulidae",0.27,"family",1.18,1.16,1.16,1.16,1.16,1.16,0.01,0.01,0.01,0.01,0.01,1.16,1.16,1.16,1.16,1.16,0.01,0.01,0.01,0.01,0.01,0.59,0.59,0.59,0.58,0.58,0.5,0.58,0.58,0.57,0.58,0.59,1,1,1,1,1,0.98,0.99,0.96,1,1,"ANN_rand5.dev-ANN_rand3.dev",0
"Polycentropodidae",0.26,"family",1.14,1.09,1.09,1.09,1.09,1.09,0.05,0.05,0.05,0.05,0.05,1.1,1.1,1.09,1.09,1.09,0.04,0.04,0.04,0.04,0.05,0.62,0.63,0.62,0.62,0.63,0.5,0.61,0.62,0.61,0.63,0.62,1,0.99,1,1,1,0.98,0.99,0.99,1.01,0.98,"ANN_rand5.dev-ANN_rand1.dev",0.01
"Odontoceridae",0.25,"family",1.12,1.04,1.03,1.03,1.02,1.04,0.07,0.08,0.07,0.09,0.07,1.04,1.03,1.05,1.05,1.04,0.07,0.08,0.06,0.06,0.07,0.68,0.69,0.67,0.7,0.68,0.5,0.67,0.69,0.66,0.67,0.67,1,1,0.99,0.99,1,0.98,1,0.98,0.97,0.99,"ANN_rand2.dev-ANN_rand3.dev",0.02
"Dugesiidae",0.22,"family",1.06,0.99,0.99,1,1,1,0.06,0.06,0.06,0.06,0.06,1,1.01,1.01,1.02,1.01,0.05,0.05,0.05,0.04,0.05,0.66,0.66,0.66,0.66,0.66,0.5,0.65,0.66,0.66,0.65,0.66,1,0.99,0.99,0.99,0.99,0.99,0.99,1,0.99,1,"ANN_rand1.dev-ANN_rand4.dev",0.01
"Lymnaeidae",0.22,"family",1.05,0.94,0.94,0.93,0.94,0.94,0.11,0.11,0.11,0.11,0.1,0.95,0.94,0.95,0.95,0.95,0.1,0.1,0.09,0.1,0.1,0.72,0.72,0.72,0.72,0.72,0.5,0.71,0.72,0.71,0.71,0.72,0.99,1,0.99,1,1,0.99,1,0.98,0.99,1,"ANN_rand2.dev-ANN_rand3.dev",0.01
"Erpobdellidae",0.21,"family",1.03,0.79,0.78,0.79,0.79,0.79,0.24,0.24,0.24,0.24,0.24,0.81,0.81,0.81,0.8,0.81,0.22,0.21,0.22,0.22,0.22,0.82,0.82,0.82,0.82,0.83,0.5,0.81,0.81,0.82,0.82,0.82,0.99,0.98,0.99,0.99,0.99,0.99,0.98,0.99,0.99,0.99,"ANN_rand4.dev-ANN_rand2.dev",0.01
"Scirtidae",0.2,"family",0.99,0.91,0.89,0.89,0.89,0.9,0.08,0.1,0.1,0.1,0.09,0.92,0.9,0.91,0.91,0.91,0.07,0.09,0.09,0.08,0.08,0.69,0.72,0.72,0.71,0.71,0.5,0.68,0.71,0.71,0.7,0.71,1,1,0.99,0.99,0.99,0.98,0.99,0.98,0.99,1,"ANN_rand2.dev-ANN_rand1.dev",0.02
