"iGLM.dev.pred","hGLM.dev.pred","chGLM.dev.pred","GAM.dev.pred","SVM.dev.pred","BCT.dev.pred","RF.dev.pred","ANN.dev.pred","Taxa","Prevalence","Taxonomic level","Null_model","expl.pow_iGLM","expl.pow_hGLM","expl.pow_chGLM","expl.pow_GAM","expl.pow_SVM","expl.pow_BCT","expl.pow_RF","expl.pow_ANN","iGLM.auc.pred","hGLM.auc.pred","chGLM.auc.pred","GAM.auc.pred","SVM.auc.pred","BCT.auc.pred","RF.auc.pred","ANN.auc.pred","Null_model.auc"
0.61,0.62,0.62,0.56,0.55,0.51,0.16,0.62,"Perlidae",0.14,"family",0.82,0.25,0.24,0.25,0.31,0.33,0.37,0.81,0.24,0.85,0.84,0.84,0.88,0.91,0.91,1,0.84,0.5
0.62,0.63,0.63,0.6,0.66,0.59,0.17,0.63,"Planorbidae",0.13,"family",0.78,0.2,0.2,0.2,0.23,0.16,0.24,0.78,0.19,0.81,0.81,0.81,0.83,0.86,0.84,1,0.8,0.5
0.62,0.62,0.62,0.59,0.62,0.54,0.16,0.65,"Glossosomatidae",0.12,"family",0.71,0.13,0.13,0.13,0.17,0.14,0.25,0.78,0.09,0.76,0.76,0.76,0.8,0.89,0.86,1,0.73,0.5
0.44,0.44,0.44,0.41,0.53,0.43,0.15,0.48,"Blephariceridae",0.12,"family",0.73,0.4,0.4,0.4,0.44,0.27,0.42,0.79,0.35,0.92,0.92,0.92,0.93,0.89,0.92,1,0.9,0.5
0.57,0.57,0.58,0.54,0.62,0.49,0.16,0.59,"Glossiphoniidae",0.11,"family",0.7,0.19,0.19,0.18,0.23,0.12,0.31,0.78,0.16,0.82,0.82,0.81,0.84,0.88,0.89,1,0.79,0.5
0.47,0.47,0.47,0.41,0.44,0.37,0.11,0.46,"Capniidae",0.1,"family",0.67,0.3,0.29,0.29,0.38,0.35,0.44,0.83,0.31,0.89,0.88,0.88,0.91,0.92,0.94,1,0.89,0.5
0.57,0.57,0.57,0.55,0.56,0.49,0.14,0.59,"Goeridae",0.09,"family",0.61,0.07,0.06,0.06,0.1,0.08,0.2,0.78,0.03,0.7,0.69,0.69,0.73,0.85,0.84,1,0.63,0.5
0.44,0.45,0.45,0.42,0.5,0.4,0.12,0.47,"Philopotamidae",0.09,"family",0.62,0.29,0.29,0.28,0.33,0.19,0.35,0.8,0.25,0.87,0.87,0.87,0.89,0.88,0.9,1,0.85,0.5
0.45,0.46,0.46,0.42,0.52,0.37,0.15,0.48,"Dixidae",0.09,"family",0.61,0.25,0.25,0.25,0.3,0.14,0.39,0.75,0.22,0.86,0.86,0.86,0.88,0.89,0.92,1,0.84,0.5
0.45,0.45,0.45,0.42,0.46,0.37,0.11,0.47,"Gyrinidae",0.08,"family",0.58,0.22,0.22,0.22,0.27,0.2,0.37,0.81,0.19,0.84,0.84,0.84,0.87,0.91,0.92,1,0.82,0.5
0.42,0.42,0.42,0.38,0.36,0.34,0.09,0.46,"Caenidae",0.08,"family",0.54,0.23,0.22,0.22,0.3,0.33,0.36,0.84,0.15,0.84,0.84,0.84,0.87,0.9,0.92,1,0.79,0.5
0.41,0.42,0.42,0.39,0.4,0.35,0.1,0.45,"Leptoceridae",0.08,"family",0.55,0.25,0.25,0.24,0.3,0.28,0.36,0.82,0.19,0.86,0.86,0.86,0.88,0.94,0.93,1,0.82,0.5
0.44,0.45,0.45,0.42,0.48,0.38,0.12,0.44,"Calopterygidae",0.08,"family",0.54,0.19,0.18,0.18,0.23,0.12,0.3,0.79,0.19,0.82,0.81,0.81,0.85,0.91,0.89,1,0.82,0.5
0.49,0.5,0.49,0.46,0.48,0.46,0.13,0.49,"Tabanidae",0.07,"family",0.53,0.08,0.07,0.07,0.14,0.09,0.13,0.76,0.08,0.71,0.7,0.71,0.78,0.88,0.78,1,0.74,0.5
0.45,0.45,0.45,0.39,0.37,0.36,0.09,0.48,"Pediciidae",0.07,"family",0.51,0.12,0.11,0.11,0.24,0.26,0.29,0.82,0.06,0.77,0.76,0.76,0.86,0.94,0.9,1,0.69,0.5
0.42,0.42,0.42,0.4,0.44,0.39,0.11,0.43,"Cordulegastridae",0.07,"family",0.48,0.14,0.13,0.13,0.18,0.08,0.2,0.76,0.12,0.79,0.78,0.79,0.82,0.91,0.85,1,0.76,0.5
0.47,0.47,0.47,0.45,0.46,0.47,0.13,0.48,"Anthomyiidae",0.07,"family",0.48,0.03,0.03,0.03,0.07,0.06,0.03,0.73,0.01,0.64,0.64,0.63,0.7,0.84,0.67,1,0.57,0.5
0.37,0.38,0.38,0.33,0.35,0.32,0.08,0.4,"Lepidostomatidae",0.06,"family",0.45,0.18,0.17,0.17,0.27,0.23,0.29,0.82,0.13,0.81,0.8,0.8,0.87,0.91,0.9,1,0.79,0.5
0.36,0.37,0.37,0.34,0.41,0.36,0.09,0.38,"Physidae",0.06,"family",0.44,0.17,0.16,0.17,0.22,0.06,0.17,0.79,0.13,0.81,0.81,0.81,0.85,0.93,0.82,1,0.78,0.5
0.37,0.38,0.38,0.36,0.38,0.37,0.09,0.39,"Sialidae",0.05,"family",0.41,0.09,0.08,0.08,0.12,0.06,0.09,0.77,0.04,0.74,0.74,0.73,0.78,0.9,0.76,1,0.66,0.5
