"Taxa","Prevalence","Taxonomic level","Null_model","ANN_rand1.dev.fit","ANN_rand2.dev.fit","ANN_rand3.dev.fit","ANN_rand4.dev.fit","ANN_rand5.dev.fit","expl.pow_ANN_rand1.dev.fit","expl.pow_ANN_rand2.dev.fit","expl.pow_ANN_rand3.dev.fit","expl.pow_ANN_rand4.dev.fit","expl.pow_ANN_rand5.dev.fit","ANN_rand1.dev.pred","ANN_rand2.dev.pred","ANN_rand3.dev.pred","ANN_rand4.dev.pred","ANN_rand5.dev.pred","expl.pow_ANN_rand1.dev.pred","expl.pow_ANN_rand2.dev.pred","expl.pow_ANN_rand3.dev.pred","expl.pow_ANN_rand4.dev.pred","expl.pow_ANN_rand5.dev.pred","ANN_rand1.auc.fit","ANN_rand2.auc.fit","ANN_rand3.auc.fit","ANN_rand4.auc.fit","ANN_rand5.auc.fit","Null_model.auc","ANN_rand1.auc.pred","ANN_rand2.auc.pred","ANN_rand3.auc.pred","ANN_rand4.auc.pred","ANN_rand5.auc.pred","ANN_rand1.likelihood.ratio","ANN_rand2.likelihood.ratio","ANN_rand3.likelihood.ratio","ANN_rand4.likelihood.ratio","ANN_rand5.likelihood.ratio","ANN_rand1.auc.ratio","ANN_rand2.auc.ratio","ANN_rand3.auc.ratio","ANN_rand4.auc.ratio","ANN_rand5.auc.ratio","Big.model.diff","Big.pred.expl.pow.diff"
"Hydrobiidae",0.14,"family",0.8,0.49,0.48,0.48,0.48,0.49,0.39,0.4,0.4,0.4,0.39,1.24,1.3,1.26,1.23,1.21,-0.55,-0.62,-0.57,-0.54,-0.51,0.82,0.82,0.83,0.82,0.82,0.5,0.65,0.63,0.67,0.67,0.7,0.69,0.67,0.68,0.69,0.7,0.79,0.77,0.8,0.82,0.85,"ANN_rand5.dev-ANN_rand2.dev",0.11
"Perlidae",0.14,"family",0.82,0.68,0.68,0.66,0.66,0.65,0.16,0.17,0.19,0.19,0.2,0.56,0.62,0.62,0.55,0.59,0.32,0.24,0.24,0.33,0.28,0.81,0.82,0.82,0.82,0.84,0.5,0.9,0.89,0.89,0.89,0.88,1.06,1.03,1.02,1.06,1.03,1.11,1.09,1.08,1.08,1.05,"ANN_rand4.dev-ANN_rand2.dev",0.09
"Planorbidae",0.13,"family",0.78,0.52,0.52,0.53,0.52,0.52,0.33,0.33,0.32,0.34,0.33,1.16,1.19,1.2,1.14,1.14,-0.48,-0.52,-0.53,-0.45,-0.46,0.8,0.8,0.8,0.8,0.8,0.5,0.61,0.64,0.62,0.63,0.61,0.73,0.72,0.72,0.73,0.73,0.77,0.8,0.78,0.79,0.76,"ANN_rand4.dev-ANN_rand3.dev",0.08
"Glossosomatidae",0.12,"family",0.71,0.69,0.69,0.7,0.68,0.68,0.04,0.03,0.03,0.04,0.04,0.44,0.44,0.45,0.46,0.44,0.38,0.38,0.37,0.36,0.38,0.74,0.73,0.73,0.74,0.74,0.5,0.61,0.59,0.56,0.6,0.57,1.13,1.13,1.13,1.12,1.13,0.83,0.8,0.77,0.8,0.77,"ANN_rand2.dev-ANN_rand4.dev",0.03
"Blephariceridae",0.12,"family",0.73,0.57,0.55,0.56,0.56,0.56,0.22,0.24,0.24,0.23,0.23,0.06,0.05,0.06,0.06,0.06,0.92,0.93,0.92,0.92,0.92,0.89,0.89,0.89,0.89,0.88,0.5,0.73,0.72,0.67,0.71,0.69,1.29,1.29,1.28,1.29,1.29,0.82,0.81,0.75,0.8,0.78,"ANN_rand2.dev-ANN_rand5.dev",0.01
"Glossiphoniidae",0.11,"family",0.7,0.49,0.49,0.49,0.48,0.48,0.31,0.31,0.31,0.32,0.32,0.96,0.98,0.99,0.99,0.99,-0.36,-0.39,-0.4,-0.4,-0.41,0.82,0.82,0.82,0.83,0.83,0.5,0.68,0.64,0.65,0.6,0.64,0.79,0.78,0.78,0.78,0.77,0.83,0.79,0.79,0.73,0.78,"ANN_rand1.dev-ANN_rand5.dev",0.05
"Capniidae",0.1,"family",0.67,0.52,0.5,0.49,0.5,0.49,0.22,0.25,0.27,0.25,0.27,0.31,0.36,0.34,0.31,0.32,0.54,0.47,0.49,0.54,0.53,0.88,0.88,0.89,0.88,0.89,0.5,0.88,0.89,0.88,0.89,0.87,1.11,1.08,1.08,1.1,1.09,1.01,1.01,0.99,1.01,0.98,"ANN_rand4.dev-ANN_rand2.dev",0.07
"Goeridae",0.09,"family",0.61,0.6,0.6,0.6,0.6,0.6,0.02,0.02,0.01,0.02,0.02,0.6,0.59,0.59,0.61,0.59,0.02,0.03,0.03,0.01,0.04,0.64,0.65,0.6,0.62,0.63,0.5,0.56,0.56,0.52,0.54,0.61,1,1,1.01,1,1,0.87,0.87,0.86,0.87,0.96,"ANN_rand5.dev-ANN_rand4.dev",0.03
"Philopotamidae",0.09,"family",0.62,0.58,0.56,0.57,0.58,0.57,0.07,0.1,0.09,0.08,0.09,0.08,0.05,0.07,0.08,0.06,0.87,0.91,0.89,0.87,0.91,0.82,0.83,0.83,0.82,0.83,0.5,0.96,0.89,0.95,0.9,0.95,1.28,1.29,1.28,1.28,1.29,1.18,1.07,1.15,1.1,1.15,"ANN_rand2.dev-ANN_rand1.dev",0.04
"Dixidae",0.09,"family",0.61,0.65,0.61,0.61,0.62,0.59,-0.06,-0.01,0,-0.02,0.03,0.12,0.09,0.1,0.1,0.08,0.81,0.85,0.84,0.83,0.88,0.72,0.76,0.78,0.77,0.8,0.5,0.79,0.91,0.89,0.94,0.93,1.3,1.3,1.29,1.29,1.29,1.11,1.19,1.14,1.23,1.16,"ANN_rand5.dev-ANN_rand1.dev",0.07
"Gyrinidae",0.08,"family",0.58,0.35,0.35,0.36,0.35,0.34,0.4,0.39,0.38,0.39,0.4,1.05,1.15,1.17,1.1,1.07,-0.82,-0.99,-1.02,-0.9,-0.84,0.81,0.79,0.76,0.78,0.8,0.5,0.64,0.63,0.66,0.67,0.61,0.7,0.67,0.67,0.69,0.7,0.79,0.8,0.87,0.86,0.76,"ANN_rand1.dev-ANN_rand3.dev",0.2
"Caenidae",0.08,"family",0.54,0.33,0.33,0.32,0.32,0.32,0.4,0.4,0.4,0.41,0.42,1.13,1.24,1.22,1.19,1.11,-1.09,-1.29,-1.26,-1.2,-1.04,0.76,0.75,0.76,0.77,0.78,0.5,0.55,0.49,0.52,0.51,0.5,0.67,0.63,0.64,0.65,0.67,0.73,0.65,0.68,0.66,0.64,"ANN_rand5.dev-ANN_rand2.dev",0.24
"Leptoceridae",0.08,"family",0.55,0.27,0.27,0.27,0.27,0.27,0.52,0.51,0.52,0.51,0.52,1.35,1.46,1.46,1.34,1.29,-1.44,-1.63,-1.65,-1.43,-1.33,0.81,0.79,0.81,0.79,0.81,0.5,0.56,0.53,0.58,0.53,0.55,0.58,0.55,0.55,0.58,0.6,0.7,0.67,0.72,0.67,0.68,"ANN_rand5.dev-ANN_rand3.dev",0.31
"Calopterygidae",0.08,"family",0.54,0.34,0.34,0.34,0.34,0.34,0.38,0.37,0.37,0.37,0.37,0.9,0.96,0.96,0.93,0.91,-0.66,-0.78,-0.77,-0.72,-0.67,0.82,0.8,0.81,0.8,0.81,0.5,0.66,0.59,0.61,0.58,0.64,0.75,0.73,0.73,0.75,0.75,0.8,0.74,0.76,0.72,0.79,"ANN_rand1.dev-ANN_rand2.dev",0.12
"Tabanidae",0.07,"family",0.53,0.46,0.46,0.47,0.46,0.47,0.13,0.13,0.12,0.13,0.12,0.65,0.65,0.65,0.66,0.66,-0.23,-0.23,-0.21,-0.24,-0.24,0.73,0.72,0.71,0.72,0.71,0.5,0.58,0.54,0.58,0.52,0.54,0.91,0.91,0.91,0.91,0.91,0.79,0.75,0.82,0.73,0.76,"ANN_rand3.dev-ANN_rand5.dev",0.03
"Pediciidae",0.07,"family",0.51,0.53,0.52,0.51,0.52,0.5,-0.04,-0.02,-0.01,-0.02,0.01,0.35,0.34,0.33,0.35,0.37,0.32,0.34,0.36,0.31,0.27,0.66,0.69,0.7,0.69,0.73,0.5,0.67,0.7,0.67,0.68,0.69,1.1,1.1,1.1,1.09,1.07,1.02,1.02,0.97,0.98,0.95,"ANN_rand3.dev-ANN_rand5.dev",0.08
"Cordulegastridae",0.07,"family",0.48,0.48,0.47,0.48,0.47,0.48,0,0.03,0.01,0.03,0.01,0.42,0.38,0.38,0.39,0.37,0.13,0.21,0.22,0.2,0.24,0.66,0.72,0.68,0.73,0.69,0.5,0.74,0.75,0.54,0.77,0.77,1.03,1.05,1.05,1.04,1.06,1.12,1.04,0.79,1.06,1.12,"ANN_rand5.dev-ANN_rand1.dev",0.11
